"filename", "language", "JSON", "Lua", "Markdown", "comment", "blank", "total"
"g:\My Drive\GitHub\memecoins-on-roblox\README.md", "Markdown", 0, 0, 1, 0, 2, 3
"g:\My Drive\GitHub\memecoins-on-roblox\default.project.json", "JSON", 63, 0, 0, 0, 0, 63
"g:\My Drive\GitHub\memecoins-on-roblox\rojo.json", "JSON", 42, 0, 0, 0, 0, 42
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\AudioController.lua", "Lua", 0, 56, 0, 6, 19, 81
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\CoinController.lua", "Lua", 0, 154, 0, 9, 50, 213
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\Fade.lua", "Lua", 0, 173, 0, 31, 85, 289
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\LocalCache.lua", "Lua", 0, 41, 0, 4, 9, 54
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\TaskScheduler.lua", "Lua", 0, 111, 0, 11, 35, 157
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\UserInput\Gamepad.lua", "Lua", 0, 125, 0, 11, 60, 196
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\UserInput\Keyboard.lua", "Lua", 0, 45, 0, 5, 25, 75
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\UserInput\Mobile.lua", "Lua", 0, 100, 0, 5, 38, 143
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\UserInput\Mouse.lua", "Lua", 0, 118, 0, 5, 50, 173
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\UserInput\init.lua", "Lua", 0, 75, 0, 5, 31, 111
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Controllers\WalletController.lua", "Lua", 0, 50, 0, 7, 20, 77
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\CameraShaker\CameraShakeInstance.lua", "Lua", 0, 113, 0, 5, 50, 168
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\CameraShaker\CameraShakePresets.lua", "Lua", 0, 68, 0, 21, 28, 117
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\CameraShaker\init.lua", "Lua", 0, 135, 0, 12, 65, 212
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\GuiTrails.lua", "Lua", 0, 205, 0, 33, 43, 281
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\GuiUtil.lua", "Lua", 0, 295, 0, 37, 65, 397
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\GuiUtil.spec.lua", "Lua", 0, 32, 0, 0, 7, 39
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\PID.lua", "Lua", 0, 46, 0, 6, 23, 75
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\ClassTemplate.lua", "Lua", 0, 37, 0, 16, 21, 74
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Classes\HoverButton.lua", "Lua", 0, 99, 0, 8, 30, 137
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Classes\SelectFrame.lua", "Lua", 0, 63, 0, 16, 23, 102
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Main.lua", "Lua", 0, 139, 0, 18, 26, 183
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Main.spec\TestClass.lua", "Lua", 0, 41, 0, 7, 18, 66
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Main.spec\TestClass2.lua", "Lua", 0, 39, 0, 7, 18, 64
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\RobiFramework\Main.spec\init.lua", "Lua", 0, 78, 0, 0, 11, 89
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\Smooth\SmoothDamp.lua", "Lua", 0, 59, 0, 8, 25, 92
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\Smooth\init.lua", "Lua", 0, 58, 0, 7, 32, 97
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\Tween\Easing.lua", "Lua", 0, 375, 0, 16, 69, 460
"g:\My Drive\GitHub\memecoins-on-roblox\src\Client\Modules\Tween\init.lua", "Lua", 0, 168, 0, 10, 59, 237
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Modules\Data\MockDataStoreService.lua", "Lua", 0, 180, 0, 15, 30, 225
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Modules\Data\init.lua", "Lua", 0, 584, 0, 62, 143, 789
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Modules\MessagingService2.lua", "Lua", 0, 129, 0, 14, 26, 169
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Modules\ProfileService.lua", "Lua", 0, 1349, 0, 145, 182, 1676
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Services\AudioService.lua", "Lua", 0, 72, 0, 7, 22, 101
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Services\CoinService.lua", "Lua", 0, 82, 0, 5, 28, 115
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Services\DataManager.lua", "Lua", 0, 175, 0, 31, 33, 239
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Services\ReplicatedCache.lua", "Lua", 0, 73, 0, 6, 24, 103
"g:\My Drive\GitHub\memecoins-on-roblox\src\Server\Services\WalletService.lua", "Lua", 0, 20, 0, 3, 12, 35
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Base64.lua", "Lua", 0, 83, 0, 14, 34, 131
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\ChainConfigs.lua", "Lua", 0, 12, 0, 0, 3, 15
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Date.lua", "Lua", 0, 207, 0, 8, 78, 293
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\EventModule.lua", "Lua", 0, 280, 0, 26, 90, 396
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\EventModule.spec.lua", "Lua", 0, 276, 0, 21, 63, 360
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\ListenerList.lua", "Lua", 0, 67, 0, 7, 31, 105
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Maid.lua", "Lua", 0, 87, 0, 34, 37, 158
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\NumberUtil.lua", "Lua", 0, 68, 0, 5, 47, 120
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Promise.lua", "Lua", 0, 1065, 0, 126, 237, 1428
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Signal.lua", "Lua", 0, 110, 0, 6, 34, 150
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\StringUtil.lua", "Lua", 0, 186, 0, 5, 119, 310
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\TableUtil.lua", "Lua", 0, 504, 0, 25, 147, 676
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\Thread.lua", "Lua", 0, 113, 0, 7, 44, 164
"g:\My Drive\GitHub\memecoins-on-roblox\src\Shared\VectorUtil.lua", "Lua", 0, 31, 0, 5, 26, 62
"Total", "-", 105, 8851, 1, 903, 2527, 12387